"tax","religion","free_election","state_aid","civil_rights","women","posterior_C1","posterior_C2","posterior_C3","pred_class"
"1","1","10","1","10","10",0,0,1,3
"8","1","10","3","10","10",0,0,1,3
"3","9","3","3","6","10",0.98,0,0.02,1
"5","5","10","5","10","10",0.008,0.021,0.971,3
"5","2","9","9","9","10",0.864,0,0.136,1
"6","2","8","6","8","10",0.952,0,0.048,1
"8","8","8","6","5","10",0.989,0,0.011,1
"7","2","8","8","10","10",0.371,0,0.629,3
"3","5","3","7","3","8",0.998,0,0.002,1
"5","4","6","7","6","7",1,0,0,1
"9","1","10","5","10","10",0,0,1,3
"10","5","1","10","10","10",0,0,1,3
"6","1","10","7","10","10",0,0,1,3
"5","2","10","6","8","10",0.187,0,0.813,3
"6","3","10","6","8","10",0.369,0,0.631,3
"4","10","1","4","1","1",0.011,0,0.989,3
"1","1","10","5","10","10",0,0,1,3
"5","1","10","5","10","10",0,0,1,3
"8","8","10","7","10","10",0.015,0,0.985,3
"7","2","10","3","7","10",0.327,0,0.673,3
"5","5","5","5","5","5",0,1,0,2
"8","4","8","4","8","9",0.999,0,0.001,1
"5","5","5","5","5","10",0,1,0,2
"5","3","8","7","10","10",0.58,0,0.42,1
"5","5","5","5","5","5",0,1,0,2
"6","1","10","6","10","10",0,0,1,3
"10","1","6","9","7","1",0.462,0,0.538,3
"10","1","10","10","10","10",0,0,1,3
"7","1","10","3","10","10",0,0,1,3
"8","3","10","9","10","10",0.016,0,0.984,3
"5","8","10","5","6","10",0.602,0,0.398,1
"7","1","10","4","10","10",0,0,1,3
"10","1","10","10","10","10",0,0,1,3
"1","1","10","5","10","10",0,0,1,3
"7","1","10","6","9","10",0.014,0,0.986,3
"2","1","10","1","8","10",0,0,1,3
"2","1","10","4","10","10",0,0,1,3
"3","1","9","7","9","9",0.881,0,0.119,1
"6","1","10","4","9","10",0.015,0,0.985,3
"7","1","10","10","8","10",0.001,0,0.999,3
"10","10","10","10","10","10",0,0,1,3
"8","8","10","4","8","9",0.921,0,0.079,1
"10","5","10","10","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"3","1","10","2","10","10",0,0,1,3
"5","5","5","5","3","5",0,1,0,2
"2","2","9","7","9","9",0.975,0,0.025,1
"1","1","10","4","10","10",0,0,1,3
"5","1","9","7","10","10",0.011,0,0.989,3
"5","5","5","5","5","5",0,1,0,2
"5","3","10","6","10","10",0.016,0,0.984,3
"2","4","10","7","8","10",0.247,0,0.753,3
"6","1","10","5","10","9",0.007,0,0.993,3
"7","1","10","4","10","7",0.011,0,0.989,3
"5","1","10","5","5","5",0.017,0.945,0.038,2
"2","9","9","3","9","7",0.98,0,0.02,1
"1","1","10","10","10","10",0,0,1,3
"6","1","10","6","10","10",0,0,1,3
"5","2","7","7","7","8",1,0,0,1
"1","1","10","1","10","10",0,0,1,3
"8","4","8","8","5","10",0.995,0,0.005,1
"5","5","5","5","5","5",0,1,0,2
"3","1","8","7","6","10",0.82,0,0.18,1
"8","8","10","10","8","10",0.019,0,0.981,3
"1","1","3","4","4","1",0.065,0,0.935,3
"6","1","10","7","10","10",0,0,1,3
"6","5","6","6","5","7",0.781,0.218,0,1
"9","1","8","9","10","10",0.037,0,0.963,3
"5","1","10","6","8","8",0.285,0.001,0.714,3
"1","1","10","5","8","5",0.014,0.009,0.977,3
"5","5","5","5","5","5",0,1,0,2
